[属性描述]
坐标系=2000国家大地坐标系
几度分带=3
投影类型=高斯克吕格
计量单位=米
带号=38
精度=0.001
转换参数=,,,,,,
[地块坐标]
29,5.238,FID_0,DKMC,面,TFH,DKYT,DLBM,@
J1,1,2576410.211,38381553.581
J2,1,2576326.916,38381693.087
J3,1,2576096.719,38381500.481
J4,1,2576092.953,38381496.888
J5,1,2576089.684,38381492.836
J6,1,2576086.970,38381488.394
J7,1,2576084.855,38381483.638
J8,1,2576083.376,38381478.647
J9,1,2576082.557,38381473.506
J10,1,2576082.413,38381468.303
J11,1,2576082.945,38381463.125
J12,1,2576084.145,38381458.060
J13,1,2576085.993,38381453.193
J14,1,2576088.457,38381448.608
J15,1,2576130.404,38381381.429
J16,1,2576133.461,38381377.179
J17,1,2576137.047,38381373.365
J18,1,2576141.101,38381370.052
J19,1,2576145.552,38381367.296
J20,1,2576150.325,38381365.146
J21,1,2576155.338,38381363.637
J22,1,2576160.506,38381362.795
J23,1,2576165.738,38381362.635
J24,1,2576170.947,38381363.161
J25,1,2576176.043,38381364.361
J26,1,2576180.938,38381366.217
J27,1,2576185.549,38381368.696
J28,1,2576189.797,38381371.757
J1,1,2576410.211,38381553.581
